agency_name,sworn_active_persnl,agency_type,state,county,city,zip,fips
Allamakee County Sheriff's Office,8,Sheriff's office,IA,Allamakee,Waukon,52172,19005
Allan Hancock College Police,4,Special jurisdiction,CA,Santa Barbara,Santa Maria,93454,6083
Allegan County Sheriff's Office,59,Sheriff's office,MI,Allegan,Allegan,49010,26005
Allegan Police Department,11,Local police department,MI,Allegan,Allegan,49010,26005
Allegany County Bureau of Police,16,Local police department,MD,Allegany,Cumberland,21502,24001
Allegany County Sheriff's Office,8,Sheriff's office,MD,Allegany,Cumberland,21502,24001
Allegany County Sheriff's Office,27,Sheriff's office,NY,Allegany,Belmont,14813,36003
Allegany Village Police Department,2,Local police department,NY,Cattaraugus,Allegany,14706,36009
Alleghany County Sheriff's Office,43,Sheriff's office,VA,Alleghany,Covington,24426,51005
Alleghany County Sheriff's Office,13,Sheriff's office,NC,Alleghany,Sparta,28675,37005
Allegheny Co District Attorneys Office,30,Special jurisdiction,PA,Allegheny,Pittsburgh,15216,42003
Allegheny County Police Department.,202,Local police department,PA,Allegheny,Pittsburgh,15208,42003
Allegheny County Sheriff's Office,151,Sheriff's office,PA,Allegheny,Pittsburgh,15219,42003
Allegheny Port Authority Transit Police,42,Special jurisdiction,PA,Allegheny,Pittsburgh,15222,42003
Allegheny Township Police Department,8,Local police department,PA,Westmoreland,Leechburg,15656,42129
Allegheny Township Police Department,5,Local police department,PA,Blair,Duncansville,16635,42013
Allen County Sheriff's Office,79,Sheriff's office,OH,Allen,Lima,45801,39003
Allen County Sheriff's Office,10,Sheriff's office,KY,Allen,Scottsville,42164,21003
Allen County Sheriff's Office,9,Sheriff's office,KS,Allen,Iola,66749,20001
Allen County Sheriff's Office,124,Sheriff's office,IN,Allen,Fort Wayne,46802,18003
Allen Parish Sheriff's Office,27,Sheriff's office,LA,Allen,Oberlin,70655,22003
Allen Park Police Department,41,Local police department,MI,Wayne,Allen Park,48101,26163
Allen Police Department,1,Local police department,KY,Floyd,Allen,41601,21071
Allen Police Department,3,Local police department,OK,Pontotoc,Allen,74825,40123
Allen Police Department,106,Local police department,TX,Collin,Allen,75013,48085
Allendale Borough Police,14,Local police department,NJ,Bergen,Allendale,7401,34003
Allendale County Sheriff's Office,11,Sheriff's office,SC,Allendale,Allendale,29810,45005
Allendale Police Department,10,Local police department,SC,Allendale,Allendale,29810,45005
Allenhurst Borough Police,9,Local police department,NJ,Monmouth,Allenhurst,7711,34025
Allenstown Police Department,10,Local police department,NH,Merrimack,Allenstown,3275,33013
Allentown Borough Police,4,Local police department,NJ,Monmouth,Allentown,8501,34025
Allentown Police Department,200,Local police department,PA,Lehigh,Allentown,18101,42077
Alliance Police Department,40,Local police department,OH,Stark,Alliance,44601,39151
Alliance Police Dept,18,Local police department,NE,Box Butte,Alliance,69301,31013
Alma Department of Public Safety,13,Local police department,MI,Gratiot,Alma,48801,26057
Alma Police Department,1,Local police department,WI,Buffalo,Alma,54610,55011
Alma Police Department,1,Local police department,KS,Wabaunsee,Alma,66401,20197
Alma Police Department,10,Local police department,GA,Bacon,Alma,31510,13005
Alma Police Department,-9,Local police department,CO,Park,Alma,80420,8093
Alma Police Department,11,Local police department,AR,Crawford,Alma,72921,5033
Almont Police Department,8,Local police department,MI,Lapeer,Almont,48003,26087
Alorton Police Dept,3,Local police department,IL,St. Clair,Alorton,62207,17163
Alpena County Sheriff's Office,13,Sheriff's office,MI,Alpena,Alpena,49707,26007
Alpena Police Department,17,Local police department,MI,Alpena,Alpena,49707,26007
Alpharetta Department of Public Safety,104,Local police department,GA,Fulton,Alpharetta,30004,13121
Alpine Borough Police,13,Local police department,NJ,Bergen,Alpine,7620,34003
Alpine County Sheriff's Office,12,Sheriff's office,CA,Alpine,Markleeville,96120,6003
Alpine Police Department,1,Local police department,WY,Lincoln,Alpine,83128,56023
Alpine Police Department,9,Local police department,TX,Brewster,Alpine,79830,48043
Alsip Police Dept,39,Local police department,IL,Cook,Alsip,60803,17031
Alstead Police Department,2,Local police department,NH,Cheshire,Alstead,3602,33005
Alta Police Department,3,Local police department,IA,Buena Vista,Alta,51002,19021
Alta Town Marshal,4,Local police department,UT,Salt Lake,Alta,84092,49035
Altamont Police Department,3,Local police department,KS,Labette,Altamont,67330,20099
Altamont Police Dept,6,Local police department,IL,Effingham,Altamont,62411,17049
Altamont Village Police Department,-9,Local police department,NY,Albany,Altamont,12009,36001
Altamonte Springs Police Department,124,Local police department,FL,Seminole,Altamonte Springs,32701,12117
Altavista Police Department,12,Local police department,VA,Campbell,Altavista,24517,51031
Altha Police Department,1,Local police department,FL,Calhoun,Altha,32421,12013
Alto Police Department,3,Local police department,GA,Habersham,Alto,30510,13137
Alto Police Department,5,Local police department,TX,Cherokee,Alto,75925,48073
Alton Police Department,13,Local police department,TX,Hidalgo,Alton,78573,48215
Alton Police Department,2,Local police department,MO,Oregon,Alton,65606,29149
Alton Police Department,11,Local police department,NH,Belknap,Alton,3809,33001
Alton Police Dept,65,Local police department,IL,Madison,Alton,62002,17119
Altoona Police Department,12,Local police department,WI,Eau Claire,Altoona,54720,55035
Altoona Police Department,1,Local police department,AL,Etowah,Altoona,35952,1055
Altoona Police Department,23,Local police department,IA,Polk,Altoona,50009,19153
Altoona Police Department,74,Local police department,PA,Blair,Altoona,16601,42013
Alturas Police Department,6,Local police department,CA,Modoc,Alturas,96101,6049
Altus Police Department,42,Local police department,OK,Jackson,Altus,73521,40065
Altus Public Schools Campus Police,4,Special jurisdiction,OK,Jackson,"Altus,",73521,40065
Alva Police Department,9,Local police department,OK,Woods,Alva,73717,40151
Alvarado Police Department,13,Local police department,TX,Johnson,Alvarado,76009,48251
Alvin Community College Police Dept.,10,Special jurisdiction,TX,Brazoria,Alvin,77511,48039
Alvin I.S.D Police Department,17,Special jurisdiction,TX,Brazoria,Alvin,77511,48039
Alvin Police Dept,49,Local police department,TX,Brazoria,Alvin,77511,48039
Amador County Sheriff's Office,47,Sheriff's office,CA,Amador,Jackson,95642,6005
Amarillo Airport Police Dept.,12,Special jurisdiction,TX,Potter,Amarillo,79111,48375
Amarillo College Police Dept.,13,Special jurisdiction,TX,Potter,Amarillo,79178,48375
Amarillo Police Department,311,Local police department,TX,Potter,Amarillo,79101,48375
Amber Police Department,2,Local police department,OK,Grady,Amber,73004,40051
Amberley Village Police Department,18,Local police department,OH,Hamilton,Cincinnati,45237,39061
Ambler Borough Police Department,14,Local police department,PA,Montgomery,Ambler,19002,42091
Amboy Police Dept,4,Local police department,IL,Lee,Amboy,61310,17103
Amboy/Vernon Center Police Department,2,Local police department,MN,Blue Earth,Amboy,56010,27013
Ambridge Borough Police Department,10,Local police department,PA,Beaver,Ambridge,15003,42007
Amelia County Sheriff's Office,15,Sheriff's office,VA,Amelia,Amelia Court House,23002,51007
Amelia Police Department,6,Local police department,OH,Clermont,Amelia,45102,39025
American Falls Police Department,9,Local police department,ID,Power,American Falls,83211,16077
American Fork Police Department,33,Local police department,UT,Utah,American Fork,84003,49049
American Township Police Department,1,Local police department,OH,Allen,Elida,45807,39003
Americus Police Department,36,Local police department,GA,Sumter,Americus,31709,13261
Amery Police Department,7,Local police department,WI,Polk,Amery,54001,55095
Ames Police Department,51,Local police department,IA,Story,Ames,50010,19169
Amesbury Police Department,32,Local police department,MA,Essex,Amesbury,1913,25009
Amherst County Sheriff's Office,38,Sheriff's office,VA,Amherst,Amherst,24521,51009
Amherst Police Department,48,Local police department,MA,Hampshire,Amherst,1002,25015
Amherst Police Department,17,Local police department,NH,Hillsborough,Amherst,3031,33011
Amherst Police Department,5,Local police department,VA,Amherst,Amherst,24521,51009
Amherst Police Department,1,Local police department,TX,Lamb,Amherst,79312,48279
Amherst Police Department,20,Local police department,OH,Lorain,Amherst,44001,39093
Amherst Town Police Department,153,Local police department,NY,Erie,Amherst,14228,36029
Amite County Sheriff's Office,6,Sheriff's office,MS,Amite,Liberty,39645,28005
Amite Police Department,28,Local police department,LA,Tangipahoa,Amite,70422,22105
Amity Police Department,2,Local police department,OR,Yamhill,Amity,97101,41071
Amity Police Department,2,Local police department,AR,Clark,Amity,71921,5019
Amity Township Police Department,14,Local police department,PA,Berks,Douglassville,19518,42011
Amityville Village Police Department,24,Local police department,NY,Suffolk,Amityville,11701,36103
Amory Police Department,18,Local police department,MS,Monroe,Amory,38821,28095
Amsterdam Police Department,36,Local police department,NY,Montgomery,Amsterdam,12010,36057
Amsterdam Police Department,-9,Local police department,OH,Carroll,Amsterdam,43903,39019
Anacoco Police Department,1,Local police department,LA,Vernon,Anacoco,71403,22115
Anaconda-Deer Lodge County Law Enforcement Agency,19,Local police department,MT,Anaconda - Deer Lodge,Anaconda,59711,30023
Anacortes Police Department,22,Local police department,WA,Skagit,Anacortes,98221,53057
Anadarko Police Department,13,Local police department,OK,Caddo,Anadarko,73005,40015
Anaheim Police Department,398,Local police department,CA,Orange,Anaheim,92805,6059
Anamosa Police Department,7,Local police department,IA,Jones,Anamosa,52205,19105
Anchorage International Airport Police,65,Special jurisdiction,AK,Anchorage,Anchorage,99519,2020
Anchorage Police Department,372,Local police department,AK,Anchorage,Anchorage,99507,2020
Anchorage Police Department,10,Local police department,KY,Jefferson,Anchorage,40223,21111
Andale Police Department,2,Local police department,KS,Sedgwick,Andale,67001,20173
Andalusia Police Dept.,30,Local police department,AL,Covington,Andalusia,36420,1039
Anderson County Constable Pct. 1,1,Constable/marshal,TX,Anderson,Elkhart,75839,48001
Anderson County Constable Pct. 2,1,Constable/marshal,TX,Anderson,Palestine,75801,48001
Anderson County Constable Pct. 3,1,Constable/marshal,TX,Anderson,Palestine,75801,48001
Anderson County Public Safety - Environmental Enforcement,-9,Special jurisdiction,SC,Anderson,Anderson,29624,45007
Anderson County Sheriff's Office,9,Sheriff's office,KS,Anderson,Garnett,66032,20003
Anderson County Sheriff's Office,15,Sheriff's office,KY,Anderson,Lawrenceburg,40342,21005
Anderson County Sheriff's Office,57,Sheriff's office,TN,Anderson,Clinton,37716,47001
Anderson County Sheriff's Office,191,Sheriff's office,SC,Anderson,Anderson,29625,45007
Anderson County Sheriff's Office,39,Sheriff's office,TX,Anderson,Palestine,75801,48001
Anderson Police,117,Local police department,IN,Madison,Anderson,46016,18095
Anderson Police Department,91,Local police department,SC,Anderson,Anderson,29624,45007
Anderson Police Department,1,Local police department,AL,Lauderdale,Anderson,35610,1077
Anderson Police Department,4,Local police department,MO,McDonald,Anderson,64831,29119
Anderson Police Department,18,Local police department,CA,Shasta,Anderson,96007,6089
Andover Police Department,53,Local police department,MA,Essex,Andover,1810,25009
Andover Police Department,3,Local police department,OH,Ashtabula,Andover,44003,39007
Andover Police Department,19,Local police department,KS,Butler,Andover,67002,20015
Andover Township Police,13,Local police department,NJ,Sussex,Newton,7860,34037
Andover Village Police Department,1,Local police department,NY,Allegany,Andover,14806,36003
Andrew County Sheriff's Office,10,Sheriff's office,MO,Andrew,Savannah,64485,29003
Andrews County Constable Pct. 1 and 4,1,Constable/marshal,TX,Andrews,Andrews,79714,48003
Andrews County Constable Pct. 2 and 3,1,Constable/marshal,TX,Andrews,Andrews,79714,48003
Andrews County Sheriff's Office,12,Sheriff's office,TX,Andrews,Andrews,79714,48003
Andrews Police,3,Local police department,IN,Huntington,Andrews,46702,18069
Andrews Police Department,9,Local police department,SC,Georgetown,Andrews,29510,45043
Andrews Police Department,6,Local police department,NC,Cherokee,Andrews,28901,37039
Andrews Police Department,16,Local police department,TX,Andrews,Andrews,79714,48003
