agency_name,sworn_active_persnl,agency_type,state,county,city,zip,fips,addr1,addr2
Shoshoni Police Dept,1,Local police department,WY,Fremont,Shoshoni,82649,56013,20 S Harris St, 
Forest Hill Police Department,1,Local police department,LA,Rapides,Forest Hill,71430,22079,Po Box 309, 
Watkins Police Department,1,Local police department,MN,Meeker,Watkins,55389,27093,111 Central Ave S,P.O. BOX 306
Mohall Police Department,1,Local police department,ND,Renville,Mohall,58761,38075,Po Box 476, 
Spencer Police Department,1,Local police department,OH,Medina,Spencer,44275,39103,P.O. Box 187, 
Andover Village Police Department,1,Local police department,NY,Allegany,Andover,14806,36003,4 Main Street, 
Custer City Police Department,1,Local police department,OK,Custer,Custer City,73639,40039,P. O. Box 8, 
Dorchester Police Department,1,Local police department,WI,Clark,Dorchester,54425,55019,188 S. Second Street,P.O. Box 124
Spearville Police Department,1,Local police department,KS,Ford,Spearville,67876,20057,Po Box 441, 
Elko New Market Police Department,1,Local police department,MN,Scott,Elko New Market,55020,27139,601 Main Street,PO BOX 99
Hebron Police Department,1,Local police department,NH,Grafton,Hebron,3241,33009,Po Box 239, 
Perrysville Police Department,1,Local police department,OH,Ashland,Perrysville,44864,39005,131 N. Bridge Street,P.O. Box 556
Wakita Police Department,1,Local police department,OK,Grant,Wakita,73771,40053,P. O. Box 53, 
Gans Police Department,1,Local police department,OK,Sequoyah,Gans,74936,40135,209 E. Cherokee, 
Lake Tanglewood Police Department,1,Local police department,TX,Randall,Amarillo,79118,48381,1000 Tanglewood Drive, 
Summerset Police Department,1,Local police department,SD,Meade,Blackhawk,57718,46093,PO Box 783, 
Moroni Police Department,1,Local police department,UT,Sanpete,Moroni,84646,49039,50 south 200 west, 
Point Comfort Police Department,1,Local police department,TX,Calhoun,Point Comfort,77978,48057,P. O. Box 497,108 JONES ST
Iaeger Police Department,1,Local police department,WV,McDowell,Iaeger,24844,54047,Post Office Box 428, 
Kempton Police Dept.,1,Local police department,IN,Tipton,Kempton,46049,18159,205 S. Main St.,P.O. Box 47
Marion Police Department,1,Local police department,MI,Osceola,Marion,49665,26133,P.O. Box 158, 
Niobrara Police Dept,1,Local police department,NE,Knox,Niobrara,68760,31107,P.O. Box 227, 
Weathersfield Police Dept.,1,Local police department,VT,Windsor,Ascutney,5030,50027,P.O. Box E, 
Kaycee Police Department,1,Local police department,WY,Johnson,Kaycee,82639,56019,Box 265, 
Burnsville Police Department,1,Local police department,WV,Braxton,Burnsville,26335,54007,Post Office Box 308, 
