agency_name,sworn_active_persnl,agency_type,state,county,city,zip,fips,addr1,addr2
Burlington Township Police,45,Local police department,NJ,Burlington,Burlington,8016,34005,851 Old York Road, 
Greeneville Police Department,45,Local police department,TN,Greene,Greeneville,37745,47059,200 N. College St., 
Gillette Police Department,45,Local police department,WY,Campbell,Gillette,82716,56005,Box 518, 
Lowndes County Sheriff's Office,45,Sheriff's office,MS,Lowndes,Columbus,39701,28087,527 S Mlk Jr. Dr, 
Ceres Department of Public Safety,45,Local police department,CA,Stanislaus,Ceres,95307,6099,2727 Third Street, 
Oregon Police Department,45,Local police department,OH,Lucas,Oregon,43616,39095,5330 Seaman Road, 
Bettendorf Police Department,45,Local police department,IA,Scott,Bettendorf,52722,19163,1609 State St, 
Clinton Police Department,45,Local police department,IA,Clinton,Clinton,52732,19045,322 East Michigan Ave, 
Sunny Isles Beach Police Department,45,Local police department,FL,Miami-Dade,Sunny Isles Beach,33160,12086,18070 Collins Avenue   2Nd Floor, 
Missouri Dept. of Natural Resources - Park Rangers,45,Special jurisdiction,MO,Cole,Jefferson City,65102,29051,Po Box 176, 
Dallas County Constable Pct. 2,45,Constable/marshal,TX,Dallas,Garland,75040,48113,140 N. Garland Ave, 
Canton Police Department,45,Local police department,GA,Cherokee,Canton,30114,13057,P.O. Box 382, 
Lewiston Police Department,45,Local police department,ID,Nez Perce,Lewiston,83501,16069,75 Rice Street, 
Stuart Police Department,45,Local police department,FL,Martin,Stuart,34994,12085,830 Martin Luther King Jr. Blvd., 
Independence County Sheriff's Office,45,Sheriff's office,AR,Independence,Batesville,72503,5063,Po Box 4236,1750 Myers St
El Mirage Police Department,45,Local police department,AZ,Maricopa,El Mirage,85335,4013,P.O. Box 26, 
Pleasant Hill Police Department,45,Local police department,CA,Contra Costa,Pleasant Hill,94523,6013,203 Paul Street, 
Natchitoches Parish Sheriff's Office,45,Sheriff's office,LA,Natchitoches,Natchitoches,71458,22069,Po Box 266,200 Church St
Batavia Police Dept,45,Local police department,IL,Kane,Batavia,60510,17089,100 North Island Ave, 
San Diego City Schools Police Department,45,Special jurisdiction,CA,San Diego,San Diego,92103,6073,4100 Normal St, 
Tarrant County Hospital District Police Dept.,45,Special jurisdiction,TX,Tarrant,Fort Worth,76104,48439,1500 S. Main St., 
Juneau County Sheriff's Office,45,Sheriff's office,WI,Juneau,Mauston,53948,55057,200 Oak St Rm 1101, 
CUNY College of Staten Island Police,45,Special jurisdiction,NY,Richmond,Staten Island,10314,36085,2800 Victory Boulevard,"Building 2A, Room 108"
New Canaan Police Department,45,Local police department,CT,Fairfield,New Canaan,6840,9001,174 South Avenue, 
Waterford Police Department,45,Local police department,CT,New London,Waterford,6385,9011,41 Avery Lane, 
Denison City Marshal,45,Constable/marshal,TX,Grayson,Denison,75020,48181,500 West Chestnut, 
Martinsburg Police Department,45,Local police department,WV,Berkeley,Martinsburg,25401,54003,232 North Queen Street, 
Tazewell County Sheriff's Office,44,Sheriff's office,VA,Tazewell,Tazewell,24651,51185,104 Court St, 
Lisle Police Dept,44,Local police department,IL,Du Page,Lisle,60532,17043,5040 Lincoln Avenue, 
Pulaski County Sheriff's Office,44,Sheriff's office,VA,Pulaski,Pulaski,24301,51155,301 Highway 44E Ste 136, 
Hazlet Police,44,Local police department,NJ,Monmouth,Hazlet,7730,34025,255 Middle Road, 
Cornelius Police Department,44,Local police department,NC,Mecklenburg,Cornelius,28031,37119,P.O. Pox 399, 
Umatilla County Sheriff's Office,44,Sheriff's office,OR,Umatilla,Pendleton,97801,41059,4700 Nw Pioneer Pl, 
Cortland Police Department,44,Local police department,NY,Cortland,Cortland,13045,36023,25 Court Street, 
Des Moines Police Department,44,Local police department,WA,King,Des Moines,98198,53033,21900 11Th Ave South, 
South Holland Police Dept,44,Local police department,IL,Cook,South Holland,60473,17031,16220 Wausau Ave, 
Calhoun Police Department,44,Local police department,GA,Gordon,Calhoun,30701,13129,200 N. Wall Street, 
Schertz Police Department,44,Local police department,TX,Guadalupe,Schertz,78154,48187,1404 Schertz Parkway, 
Central Falls Police Department,44,Local police department,RI,Providence,Central Falls,2863,44007,160 Illinois Street, 
Sullivan County Sheriff's Office,44,Sheriff's office,NY,Sullivan,Monticello,12701,36105,24 S State St, 
Watauga County Sheriff's Office,44,Sheriff's office,NC,Watauga,Boone,28607,37189,184 Hodges Gap Rd, 
Macon County Sheriff's Office,44,Sheriff's office,NC,Macon,Franklin,28734,37113,1820 Lakeside Dr, 
Madisonville Police Department,44,Local police department,KY,Hopkins,Madisonville,42431,21107,210 West Cottonwood, 
Lake Jackson Police Department,44,Local police department,TX,Brazoria,Lake Jackson,77566,48039,5A Oak Drive, 
Mount Pleasant Town Police Department,44,Local police department,NY,Westchester,Valhalla,10595,36119,1 Town Hall Plaza, 
Chemung County Sheriff's Office,44,Sheriff's office,NY,Chemung,Elmira,14901,36015,203 William St,PO Box 588
Robertson County Sheriff's Office,44,Sheriff's office,TN,Robertson,Springfield,37172,47147,507 S Brown St, 
Glassboro Police,44,Local police department,NJ,Gloucester,Glassboro,8028,34015,1 South Main Street, 
Stone County Sheriff's Office,44,Sheriff's office,MO,Stone,Galena,65656,29209,1420 Industrial Park Rd, 
Clarksburg Police Department,44,Local police department,WV,Harrison,Clarksburg,26301,54033,222 West Main Street, 
Belmont Police Department,44,Local police department,MA,Middlesex,Belmont,2478,25017,Post Office Box 489, 
Warren County Sheriff's Office,44,Sheriff's office,MS,Warren,Vicksburg,39183,28149,121 N A St, 
Mount Vernon Police Dept,44,Local police department,IL,Jefferson,Mount Vernon,62864,17081,211 North 10Th Street, 
Meridian Township Police Department,44,Local police department,MI,Ingham,Okemos,48864,26065,5151 Marsh Rd, 
Scott County Sheriff's Office,44,Sheriff's office,IA,Scott,Davenport,52801,19163,301 S Fuller St, 
Morris Township Police,44,Local police department,NJ,Morris,Morristown,7960,34027,49 Woodland Avenue, 
Lenawee County Sheriff's Office,44,Sheriff's office,MI,Lenawee,Adrian,49221,26091,405 N Winter St, 
Clarendon County Sheriff's Office,44,Sheriff's office,SC,Clarendon,Manning,29102,45027,Po Box 1289, 
Duncan Police Department,44,Local police department,OK,Stephens,Duncan,73534,40137,P. O. Box 969, 
Prairie Village Police Department,44,Local police department,KS,Johnson,Prairie Village,66208,20091,7710 Mission Rd, 
Oswego Police Department,44,Local police department,NY,Oswego,Oswego,13126,36075,169 West 2Nd Street, 
Reidsville Police Department,44,Local police department,NC,Rockingham,Reidsville,27320,37157,220 W. Morehead Street, 
Union County Sheriff's Office,44,Sheriff's office,OH,Union,Marysville,43040,39159,250 American Rd, 
Lee County Sheriff's Office,44,Sheriff's office,MS,Lee,Tupelo,38804,28081,Po Box 177, 
Newport Police Department,44,Local police department,KY,Campbell,Newport,41071,21037,120 Broadway, 
Beachwood Police Department,44,Local police department,OH,Cuyahoga,Beachwood,44122,39035,2700 Richmond Rd, 
Round Lake Beach Police Dept,44,Local police department,IL,Lake,Round Lake Beach,60073,17097,1947 N Municipal Way, 
Gautier Police Department,44,Local police department,MS,Jackson,Gautier,39553,28059,3330 Highway 90, 
Brook Park Police Department,44,Local police department,OH,Cuyahoga,Brook Park,44142,39035,17401 Holland Road, 
Zapata County Sheriff's Office,44,Sheriff's office,TX,Zapata,Zapata,78076,48505,2311 Stop23A,7th Ave & Hidalgo Blvd
Chambers County Sheriff's Office,44,Sheriff's office,TX,Chambers,Anahuac,77514,48071,2 Lafayette St, 
Saline County Sheriff's Office,44,Sheriff's office,KS,Saline,Salina,67401,20169,735 S Neeley St, 
Clinton Police Department,44,Local police department,MS,Hinds,Clinton,39056,28049,322 East Michigan Ave, 
Lavergne Police Department,44,Local police department,TN,Rutherford,Lavergne,37086,47149,5093 Murfreesboro Rd., 
Emporia Police Department,44,Local police department,KS,Lyon,Emporia,66801,20111,310 Budd Street, 
Harker Heights Police Department,44,Local police department,TX,Bell,Harker Heights,76548,48027,402 Indian Trail, 
Sylvania Township Police Department,44,Local police department,OH,Lucas,Sylvania,43560,39095,4420 King Road, 
Willoughby Police Department,44,Local police department,OH,Lake,Willoughby,44094,39085,36700 Euclid Avenue, 
Branson Police Department,44,Local police department,MO,Taney,Branson,65616,29213,110 West Maddux - Suite 100, 
Ansonia Police Department,44,Local police department,CT,New Haven,Ansonia,6401,9009,108 West Canal Street,P.O. Box 824
Fairfield County Sheriff's Office,44,Sheriff's office,SC,Fairfield,Winnsboro,29180,45039,221 E Main St, 
Indiana University Police Department,44,Special jurisdiction,IN,Monroe,Bloomington,47408,18105,1469 East 17th Street, 
Juneau Police Dept.,44,Local police department,AK,Juneau,Juneau,99801,2110,6255 Alaway Ave, 
St. Croix County Sheriff's Office,44,Sheriff's office,WI,St. Croix,Hudson,54016,55109,1101 Carmichael Rd, 
Washington County Sheriff's Office,44,Sheriff's office,UT,Washington,Hurricane,84737,49053,399 Broadway, 
Bridgeview Police Dept,44,Local police department,IL,Cook,Bridgeview,60455,17031,7500 S Oketo, 
Haines City Police Department,44,Local police department,FL,Polk,Haines City,33844,12105,P.O. Box 1507, 
Scottsboro Police Department,44,Local police department,AL,Jackson,Scottsboro,35769,1071,23123 John T. Reid Parkway, 
Riverdale Police Department,44,Local police department,GA,Clayton,Riverdale,30274,13063,4580 South Weber River Drive, 
Wilton Police Department,44,Local police department,CT,Fairfield,Wilton,6897,9001,Po Box 183,7 Burns Hill Road
Fayetteville Police Department,44,Local police department,GA,Fayette,Fayetteville,30215,13113,308 West Market Street, 
Johnstown Police Department,44,Local police department,PA,Cambria,Johnstown,15901,42021,33-41 East Main Street, 
Harbor Police - Port of New Orleans,44,Special jurisdiction,LA,Orleans,New Orleans,70130,22071,#1 Third St., 
Belvidere Police Dept,44,Local police department,IL,Boone,Belvidere,61008,17007,615 N Main St, 
Lone Tree Police Department,44,Local police department,CO,Douglas,Lone Tree,80124,8035,"9220 Kimmer Drive, Ste 120", 
Ross Township Police Department,43,Local police department,PA,Allegheny,Pittsburgh,15237,42003,1000 Ross Municipal Dr., 
Mount Vernon Police Department,43,Local police department,WA,Skagit,Mount Vernon,98273,53057,1805 Continental Place, 
Auglaize County Sheriff's Office,43,Sheriff's office,OH,Auglaize,Wapakoneta,45895,39011,Po Box 26,1051 Dearbaugh Ave
Ocean Springs Police Department,43,Local police department,MS,Jackson,Ocean Springs,39566,28059,P.O. Box 1800, 
Katy Police Department,43,Local police department,TX,Harris,Katy,77493,48201,5456 Franz Rd., 
Grosse Pointe Park Dept of Public Safety,43,Local police department,MI,Wayne,Grosse Pointe,48230,26163,15115 E Jefferson, 
Hamtramck Police Department,43,Local police department,MI,Wayne,Hamtramck,48212,26163,3401 Evaline, 
Elizabethtown Police Department,43,Local police department,KY,Hardin,Elizabethtown,42701,21093,Po Box 1278, 
Hyattsville Police Department,43,Local police department,MD,Prince Georges,Hyattsville,20781,24033,4310 Gallatin St., 
Erlanger Police Department,43,Local police department,KY,Kenton,Erlanger,41018,21117,505 Commonwealth Ave., 
Wood County Sheriff's Office,43,Sheriff's office,WI,Wood,Wisconsin Rapids,54495,55141,328 2Nd St,PO Box 1985
Holmdel Police,43,Local police department,NJ,Monmouth,Holmdel,7733,34025,P.O. Box 410,4 Crawfords Corners Road
Fairborn Police Department,43,Local police department,OH,Greene,Fairborn,45324,39057,70 West Hebble Avenue, 
Poplar Bluff Police Department,43,Local police department,MO,Butler,Poplar Bluff,63901,29023,330 N 2Nd Street, 
Wenatchee Police Department,43,Local police department,WA,Chelan,Wenatchee,98807,53007,Po Box 519, 
Bowling Green Police Division,43,Local police department,OH,Wood,Bowling Green,43402,39173,175 West Wooster Street, 
Santa Cruz County Sheriff's Office,43,Sheriff's office,AZ,Santa Cruz,Nogales,85621,4023,1250 N Hohokam Dr,Box 1150
Hood County Sheriff's Office,43,Sheriff's office,TX,Hood,Granbury,76048,48221,400 N. Gordon St., 
Jones County Sheriff's Office,43,Sheriff's office,GA,Jones,Gray,31032,13169,Po Box 95, 
Rock Springs Police Dept,43,Local police department,WY,Sweetwater,Rock Springs,82901,56037,221 C Street, 
Oak Brook Police Dept,43,Local police department,IL,Du Page,Oak Brook,60523,17043,1200 Oak Brook Road, 
Lodi Police,43,Local police department,NJ,Bergen,Lodi,7644,34003,1 Memorial Drive, 
Bergenfield Police,43,Local police department,NJ,Bergen,Bergenfield,7621,34003,198 North Washington Avenue, 
Lawrence County Sheriff's Office,43,Sheriff's office,TN,Lawrence,Lawrenceburg,38464,47099,430 Court St, 
Easley Police Department,43,Local police department,SC,Pickens,Easley,29641,45077,Po Box 466, 
Blount County Sheriff's Office,43,Sheriff's office,AL,Blount,Oneonta,35121,1009,225 Industrial Park Rd, 
Delaware County Sheriff's Office,43,Sheriff's office,IN,Delaware,Muncie,47305,18035,Po Box 476, 
Van Buren County Sheriff's Office,43,Sheriff's office,MI,Van Buren,Paw Paw,49079,26159,Po Box 474,907 Broad St
Mauldin Police Department,43,Local police department,SC,Greenville,Mauldin,29662,45045,Po Box 249, 
Alleghany County Sheriff's Office,43,Sheriff's office,VA,Alleghany,Covington,24426,51005,Po Box 53, 
Bedford Police Department,43,Local police department,NY,Westchester,Bedford Hills,10507,36119,215 E Main Street, 
Stow Police Department,43,Local police department,OH,Summit,Stow,44224,39153,305 Great Rd, 
Mount Lebanon Police Department,43,Local police department,PA,Allegheny,Pittsburgh,15228,42003,555 Washington Road, 
Jennings Police Department,43,Local police department,MO,St. Louis,Jennings,63136,29189,Post Office Box 209, 
Beaufort Police Department,43,Local police department,SC,Beaufort,Beaufort,29901,45013,Po Box 268, 
Lancaster County Sheriff's Office,43,Sheriff's office,PA,Lancaster,Lancaster,17608,42071,8293 Mary Ball Rd, 
Eau Claire County Sheriff's Office,43,Sheriff's office,WI,Eau Claire,Eau Claire,54703,55035,728 2nd Ave, 
Logan County Sheriff's Office,43,Sheriff's office,OH,Logan,Bellefontaine,43311,39091,710 W 2Nd St, 
Northampton Township Police Department,43,Local police department,PA,Bucks,Richboro,18954,42017,50 Township Road, 
Garden City Police Department,43,Local police department,GA,Chatham,Garden City,31408,13051,6000 Middlebelt, 
South Dakota Division of Criminal Investigation,43,Special jurisdiction,SD,Hughes,Pierre,57501,46065,1302 E Highway 14,Suite 5
Lake Forest Police Dept,43,Local police department,IL,Lake,Lake Forest,60045,17097,255 W Deerpath, 
Southern University and A & M College Police,43,Special jurisdiction,LA,East Baton Rouge,Baton Rouge,70813,22033,Southern University System, 
Van Buren Police Department,43,Local police department,AR,Crawford,Van Buren,72956,5033,Po Box 40, 
Los Gatos/Monte Sereno Police Department,43,Local police department,CA,Santa Clara,Los Gatos,95030,6085,110 E. Main St., 
Pierce County Sheriff's Office,43,Sheriff's office,WI,Pierce,Ellsworth,54011,55093,Po Box 226, 
Campbell Police Department,43,Local police department,CA,Santa Clara,Campbell,95008,6085,204 West Grand, 
Marshalltown Police Department,43,Local police department,IA,Marshall,Marshalltown,50158,19127,22 N Centerr, 
Eustis Police Department,43,Local police department,FL,Lake,Eustis,32727,12069,Post Office Drawer 68, 
New Hampshire Fish & Game - Law Enforcement Division,43,Special jurisdiction,NH,Merrimack,Concord,3305,33013,11 Hazen Dr., 
South Miami Police Department,43,Local police department,FL,Miami-Dade,South Miami,33143,12086,6130 Sunset Drive, 
Dallas County Constable Pct. 3,43,Constable/marshal,TX,Dallas,Richardson,75080,48113,1411 W. Belt Line Road, 
Kingsland Police Dept,43,Local police department,GA,Camden,Kingsland,31548,13039,Post Office Box 250, 
La Crosse County Sheriff's Office,43,Sheriff's office,WI,La Crosse,La Crosse,54601,55063,333 Vine St, 
McAllen I.S.D. Police Dept.,43,Special jurisdiction,TX,Hidalgo,Mcallen,78501,48215,2000 N. 23Rd, 
Richmond County Marshal's Office,42,Constable/marshal,GA,Richmond,Augusta,30901,13245,"530 Greene St, Rm 704 Muni Bld", 
Maverick County Sheriff's Office,42,Sheriff's office,TX,Maverick,Eagle Pass,78852,48323,"Rt 3, Box 1033, Hwy 57", 
Altus Police Department,42,Local police department,OK,Jackson,Altus,73521,40065,121 N. Grady, 
Bristol Police Department,42,Local police department,RI,Bristol,Bristol,2809,44001,501 Scott Street, 
Allegheny Port Authority Transit Police,42,Special jurisdiction,PA,Allegheny,Pittsburgh,15222,42003,345 6Th Avenue, 
Marshfield Police Department,42,Local police department,MA,Plymouth,Marshfield,2050,25023,1639 Ocean Street, 
Melrose Police Department,42,Local police department,MA,Middlesex,Melrose,2176,25017,56 West Foster St, 
Fairfield Township Police,42,Local police department,NJ,Essex,Fairfield,7004,34013,230 Fairfield Road, 
Millington Police Department,42,Local police department,TN,Shelby,Millington,38053,47157,7950 Memphis Avenue, 
Ada Police Department,42,Local police department,OK,Pontotoc,Ada,74820,40123,231 S. Townsend, 
Trussville Police Department,42,Local police department,AL,Jefferson,Trussville,35173,1073,Post Office Box 159, 
District of Columbia Housing Authority Police,42,Special jurisdiction,DC,District of Columbia,Washington,20001,11001,1133 N Capitol St Ne, 
Elmwood Park Borough Police,42,Local police department,NJ,Bergen,Elmwood Park,7407,34003,182 Market Street, 
McIntosh County Sheriff's Office,42,Sheriff's office,GA,McIntosh,Darien,31305,13191,112 1St St Ne,PO Box 26
Lindenwold Police,42,Local police department,NJ,Camden,Lindenwold,8021,34007,2001 Egg Harbor Road, 
Villa Park Police Dept,42,Local police department,IL,Du Page,Villa Park,60181,17043,40 South Ardmore, 
DeKalb County Sheriff's Office,42,Sheriff's office,IL,DeKalb,Sycamore,60178,17037,4415 Memorial Dr, 
San Patricio County Sheriff's Office,42,Sheriff's office,TX,San Patricio,Sinton,78387,48409,300 N Rachal St,PO Box 1382
Collingswood Police,42,Local police department,NJ,Camden,Collingswood,8108,34007,735 North Atlantic Avenue, 
Burton Police Department,42,Local police department,MI,Genesee,Burton,48519,26049,4090 Manor Dr., 
New Castle Town Police Department,42,Local police department,NY,Westchester,Chappaqua,10514,36119,200 South Greeley Avenue, 
Red Bank Police,42,Local police department,NJ,Monmouth,Red Bank,7701,34025,90 Monmouth Street, 
Kent Police Department,42,Local police department,OH,Portage,Kent,44240,39133,319 South Water Street, 
Flint Township Police Department,42,Local police department,MI,Genesee,Flint,48507,26049,5200 Norko Drive, 
La Salle Parish Sheriff's Office,42,Sheriff's office,LA,La Salle,Jena,71342,22059,Po Box 70, 
Millard County Sheriff's Office,42,Sheriff's office,UT,Millard,Fillmore,84631,49027,765 S Highway 99, 
Westminster Police Department,42,Local police department,MD,Carroll,Westminster,21158,24013,"P.O. Box 300, 36 Locust St.", 
Hawkins County Sheriff's Office,42,Sheriff's office,TN,Hawkins,Rogersville,37857,47073,150 E Washington St, 
Plainfield Police,42,Local police department,IN,Hendricks,Plainfield,46168,18063,1075 West Main Street, 
Barberton Police Department,42,Local police department,OH,Summit,Barberton,44203,39153,576 West Park Street, 
Herkimer County Sheriff's Office,42,Sheriff's office,NY,Herkimer,Herkimer,13350,36043,320 N Main St,Ste 2900
Twin Falls County Sheriff's Office,42,Sheriff's office,ID,Twin Falls,Twin Falls,83301,16083,425 Shoshone St N,PO Box 146
Baker County Sheriff's Office,42,Sheriff's office,FL,Baker,Macclenny,32063,12003,Po Box 441, 
Park Forest Police Dept,42,Local police department,IL,Cook,Park Forest,60466,17031,200 Lakewood Blvd., 
Mason Police Department,42,Local police department,OH,Warren,Mason,45040,39165,38 Darling Hill Road, 
Clayton Police Department,42,Local police department,NC,Johnston,Clayton,27520,37101,227 S Central Ave, 
Trotwood Police Department,42,Local police department,OH,Montgomery,Trotwood,45426,39113,3035 Olive Road, 
Dallas County Constable Pct. 5,42,Constable/marshal,TX,Dallas,Dallas,75203,48113,410 S. Beckley,410 S. Beckley
Coronado Police Department,42,Local police department,CA,San Diego,Coronado,92118,6073,700 Orange Avenue, 
Montrose Police Department,42,Local police department,CO,Montrose,Montrose,81402,8085,P.O. Box 185, 
Sahuarita Police Dept,42,Local police department,AZ,Pima,Sahuarita,85629,4019,315 W. Sahuarita Center Way, 
Saline County Sheriff's Office,42,Sheriff's office,IL,Saline,Harrisburg,62946,17165,735 S Neeley St, 
Lone Star College System Police Department,42,Special jurisdiction,TX,Montgomery,The Woodlands,77381,48339,5000 Research Forest Drive, 
Montgomery County Sheriff's Office,42,Sheriff's office,NC,Montgomery,Troy,27371,37123,Po Box 432,200 Clark Dr
Ozark Police Department,42,Local police department,AL,Dale,Ozark,36361,1045,201 E Brick, 
El Cerrito Police Department,42,Local police department,CA,Contra Costa,El Cerrito,94530,6013,10900 San Pablo Avenue, 
Jacksonville Aviation Authority Police,42,Special jurisdiction,FL,Duval,Jacksonville,32229,12031,Post Office Box 18018, 
Ridgefield Police Department,42,Local police department,CT,Fairfield,Ridgefield,6877,9001,115 North 3Rd Avenue,PO BOX 546
Bethlehem Town Police Department,42,Local police department,NY,Albany,Delmar,12054,36001,447 Delaware Avenue, 
Lake In The Hills Police Dept,42,Local police department,IL,McHenry,Lake In The Hills,60156,17111,1115 Crystal Lake Road, 
Richmond Heights Police Dept,42,Local police department,MO,St. Louis,Richmond Heights,63117,29189,7447 Dale Ave, 
Rhode Island Airport Police Department,42,Special jurisdiction,RI,Kent,Warwick,2886,44003,2000 Post Road, 
Claremont Police Department,42,Local police department,CA,Los Angeles,Claremont,91711,6037,58 Opera House Square, 
Golden Police Department,42,Local police department,CO,Jefferson,Golden,80401,8059,911 10 St, 
Farmington Police Department,42,Local police department,CT,Hartford,Unionville,6085,9003,531 Main Street, 
Jackson State University Department of Public Safety,42,Special jurisdiction,MS,Hinds,Jackson,39217,28049,Post Office Box 17025, 
Cedar Falls Police Department,42,Local police department,IA,Black Hawk,Cedar Falls,50613,19013,220 Clay, 
West Deptford Police,41,Local police department,NJ,Gloucester,Thorofare,8086,34015,400 Crown Point Road,P.O. Box 89
Bloomingdale Police Dept,41,Local police department,IL,Du Page,Bloomingdale,60108,17043,201 S. Bloomingdale Rd., 
Tazewell County Sheriff's Office,41,Sheriff's office,IL,Tazewell,Pekin,61554,17179,104 Court St, 
Mount Juliet Police Department,41,Local police department,TN,Wilson,Mount Juliet,37122,47189,P.O. Box 322, 
Upper Dublin Township Police Department,41,Local police department,PA,Montgomery,Fort Washington,19034,42091,801 Loch Alsh Avenue, 
Glen Ellyn Police Dept,41,Local police department,IL,Du Page,Glen Ellyn,60137,17043,535 Duane St., 
Jefferson County Sheriff's Office,41,Sheriff's office,TN,Jefferson,Dandridge,37725,47089,16001 State Route 7, 
Sulphur Police Department,41,Local police department,LA,Calcasieu,Sulphur,70664,22019,Po Box 1309, 
Miamisburg Police Department,41,Local police department,OH,Montgomery,Miamisburg,45342,39113,10 North First Street, 
Person County Sheriff's Office,41,Sheriff's office,NC,Person,Roxboro,27573,37145,Po Box 1156, 
Rotterdam Town Police Department,41,Local police department,NY,Schenectady,Rotterdam,12306,36093,101 Princetown Road, 
Sylacauga Police Department,41,Local police department,AL,Talladega,Sylacuaga,35150,1121,Post Office Box 2460, 
Carter County Sheriff's Office,41,Sheriff's office,TN,Carter,Elizabethton,37643,47019,Po Box 323, 
Vienna Police Department,41,Local police department,VA,Fairfax,Vienna,22180,51059,PO Box 196, 
Takoma Park Police Department,41,Local police department,MD,Montgomery,Takoma Park,20912,24031,7500 Maple Ave, 
Wakefield Police Department,41,Local police department,MA,Middlesex,Wakefield,1880,25017,Po Box 326, 
Columbia County Sheriff's Office,41,Sheriff's office,OR,Columbia,Saint Helens,97051,41009,4917 Us Highway 90, 
Highland Police,41,Local police department,IN,Lake,Highland,46322,18089,3333 Ridge Road, 
Lea County Sheriff's Office,41,Sheriff's office,NM,Lea,Lovington,88260,35025,215 E Central Ave, 
Mattoon Police Dept,41,Local police department,IL,Coles,Mattoon,61938,17029,1710 Wabash Ave., 
Rutland Police Department.,41,Local police department,VT,Rutland,Rutland,5701,50021,108 Wales Street, 
Seguin Police Department,41,Local police department,TX,Guadalupe,Seguin,78155,48187,350 N. Guadalupe Street, 
Sanford Police Department,41,Local police department,ME,York,Sanford,4073,23031,Po Box 3729, 
Laporte Police,41,Local police department,IN,La Porte,Laporte,46350,18091,1206 Michigan Avenue, 
Montville Township Police,41,Local police department,NJ,Morris,Montville,7045,34027,360 Route 202,Suite 1
Oak Forest Police Dept,41,Local police department,IL,Cook,Oak Forest,60452,17031,15440 S Central Ave, 
Troy Police Department,41,Local police department,OH,Miami,Troy,45373,39109,P.O. Box 246, 
Westwego Police Department,41,Local police department,LA,Jefferson,Westwego,70094,22051,417 Ave A, 
Tinton Falls Police,41,Local police department,NJ,Monmouth,Tinton Falls,7724,34025,556 Tinton Avenue, 
Allen Park Police Department,41,Local police department,MI,Wayne,Allen Park,48101,26163,16850 Southfield Rd, 
Ventnor Police,41,Local police department,NJ,Atlantic,Ventnor,8406,34001,6201 Atlantic Avenue, 
Crossville Police Department,41,Local police department,TN,Cumberland,Crossville,38555,47035,Post Office Box 100, 
Chesterfield County Sheriff's Office,41,Sheriff's office,SC,Chesterfield,Chesterfield,29709,45025,Po Box 7,9500 Courthouse Rd
Logansport Police,41,Local police department,IN,Cass,Logansport,46947,18017,601 East Broadway, 
Shelbyville Police,41,Local police department,IN,Shelby,Shelbyville,46176,18145,105 West Taylor Street, 
Maple Heights Police Department,41,Local police department,OH,Cuyahoga,Maple Heights,44137,39035,5373 Lee Road, 
Shelbyville Police Department,41,Local police department,TN,Bedford,Shelbyville,37160,47003,303 Main St., 
Cabell County Sheriff's Office,41,Sheriff's office,WV,Cabell,Huntington,25721,54011,"750 5Th Ave, Rm 101", 
Dennis Police Department,41,Local police department,MA,Barnstable,So Dennis,2660,25001,90 Bob Crowell Rd, 
Smithfield Police Department,41,Local police department,NC,Johnston,Smithfield,27577,37101,215 Pleasant View Avenue, 
Lexington Police Department,41,Local police department,SC,Lexington,Lexington,29071,45063,1575 Massachusetts Avenue, 
Chaves County Sheriff's Office,41,Sheriff's office,NM,Chaves,Roswell,88202,35005,Po Box 1396,#1 St Mary's Place
Culpeper Police Department,41,Local police department,VA,Culpeper,Culpeper,22701,51047,130 W. Cameron St., 
North Platte Police Dept,41,Local police department,NE,Lincoln,North Platte,69101,31111,701 South Jeffers, 
Wylie Police Department,41,Local police department,TX,Collin,Wylie,75098,48085,2000 N.  Hwy 78, 
East Peoria Police Dept,41,Local police department,IL,Tazewell,East Peoria,61611,17179,201 W Washington, 
Narragansett Police Department,41,Local police department,RI,Washington,Narragansett,2882,44009,40 Caswell Street, 
Aldine I.S.D Police Dept.,41,Special jurisdiction,TX,Harris,Houston,77032,48201,14910 Aldine-Meadows Road, 
Iowa Department of Natural Resources.- Parks Division,41,Special jurisdiction,IA,Polk,Des Moines,50319,19153,Wallace Building,502 E 9TH ST
Fairview Heights Police Dept,41,Local police department,IL,St. Clair,Fairview Heights,62208,17163,10027 Bunkum Rd, 
State University at Albany Police,41,Special jurisdiction,NY,Albany,Albany,12222,36001,1400 Washington Avenue, 
Burlingame Police Department,41,Local police department,CA,San Mateo,Burlingame,94010,6081,101 E Santa Fe, 
South Lake Tahoe Police Department,41,Local police department,CA,El Dorado,South Lake Tahoe,96150,6017,1352 Johnson Boulevard, 
Burlington Police Department,41,Local police department,IA,Des Moines,Burlington,52601,19057,"311 Cedar Street, Suite B", 
Paragould Police Department,41,Local police department,AR,Greene,Paragould,72450,5055,101 North 3 1/2 Street, 
Portsmouth Police Department,41,Local police department,OH,Scioto,Portsmouth,45662,39145,700 Crawford St., 
Seymour Police Department,41,Local police department,CT,New Haven,Seymour,6483,9009,306 North Main Street, 
Dolton Police Dept,41,Local police department,IL,Cook,Dolton,60419,17031,14030 Park Ave, 
Keizer Police Department,41,Local police department,OR,Marion,Keizer,97307,41047,Po Box 21000, 
Centerville Police Department,41,Local police department,OH,Montgomery,Centerville,45458,39113,500 N. Houston Lake Blvd, 
